symbol,required_start_date,ibkr_earliest_date,ibkr_latest_date,yahoo_earliest_date,yahoo_latest_date,final_earliest_date,final_latest_date,row_count,missing_days_count,source_mix,status,yahoo_provider_used,yfinance_adapter_failure,external_provider_available,cache_rows_before,cache_rows_after,cache_inserted_rows,cache_fetch_windows,history_key,is_optional
SPY,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4164,0,yahoo_only,ok,none,False,True,4164,4164,0,"[[""2010-01-01"", ""2010-01-03""]]",SPY_close,
^VIX,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4165,0,yahoo_only,ok,none,False,True,4165,4165,0,"[[""2010-01-01"", ""2010-01-03""]]",VIX,
^VVIX,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4155,0,yahoo_only,ok,none,False,True,4155,4155,0,"[[""2010-01-01"", ""2010-01-03""]]",VVIX,
^VIX3M,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4160,0,yahoo_only,ok,none,False,True,4160,4160,0,"[[""2010-01-01"", ""2010-01-03""]]",VIX3M,
XLK,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4164,0,yahoo_only,ok,none,False,True,4164,4164,0,"[[""2010-01-01"", ""2010-01-03""]]",XLK_close,
XLF,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4164,0,yahoo_only,ok,none,False,True,4164,4164,0,"[[""2010-01-01"", ""2010-01-03""]]",XLF_close,
XLE,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4164,0,yahoo_only,ok,none,False,True,4164,4164,0,"[[""2010-01-01"", ""2010-01-03""]]",XLE_close,
XLY,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4164,0,yahoo_only,ok,none,False,True,4164,4164,0,"[[""2010-01-01"", ""2010-01-03""]]",XLY_close,
XLP,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4164,0,yahoo_only,ok,none,False,True,4164,4164,0,"[[""2010-01-01"", ""2010-01-03""]]",XLP_close,
XLI,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4164,0,yahoo_only,ok,none,False,True,4164,4164,0,"[[""2010-01-01"", ""2010-01-03""]]",XLI_close,
XLB,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4164,0,yahoo_only,ok,none,False,True,4164,4164,0,"[[""2010-01-01"", ""2010-01-03""]]",XLB_close,
XLV,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4164,0,yahoo_only,ok,none,False,True,4164,4164,0,"[[""2010-01-01"", ""2010-01-03""]]",XLV_close,
XLU,2013-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4164,0,yahoo_only,ok,none,False,True,4164,4164,0,"[[""2010-01-01"", ""2010-01-03""]]",XLU_close,
XLRE,2013-01-01,,,2015-10-08,2026-07-24,2015-10-08,2026-07-24,2713,0,yahoo_only,insufficient,none,True,True,2713,2713,0,"[[""2010-01-01"", ""2015-10-07""]]",XLRE_close,
^VIX9D,2010-01-01,,,2011-01-03,2026-07-24,2011-01-03,2026-07-24,3908,0,yahoo_only,insufficient,none,True,True,3908,3908,0,"[[""2010-01-01"", ""2011-01-02""]]",VIX9D,True
^VIX6M,2010-01-01,,,2010-01-04,2026-07-24,2010-01-04,2026-07-24,4160,0,yahoo_only,insufficient,none,False,True,4160,4160,0,"[[""2010-01-01"", ""2010-01-03""]]",VIX6M,True
XLC,2010-01-01,,,2018-06-19,2026-07-24,2018-06-19,2026-07-24,2035,0,yahoo_only,insufficient,none,True,True,2035,2035,0,"[[""2010-01-01"", ""2018-06-18""]]",XLC_close,True
