strike,dte,premium,scenario_sigma,scenario_spot,leap_pnl,short_call_pnl,total_pnl,leap_only_pnl,overwrite_drag
742.0,1.0,1.39,-1.0,732.4159303679378,-3133.627852824884,695.0,-2438.627852824884,-3133.627852824884,-695.0
742.0,1.0,1.39,-0.5,736.3329651839689,-1566.813926412442,695.0,-871.813926412442,-1566.813926412442,-695.0
742.0,1.0,1.39,0.0,740.25,0.0,695.0,695.0,0.0,-695.0
742.0,1.0,1.39,0.5,744.1670348160311,1566.813926412442,-388.5174080155526,1178.2965183968895,1566.813926412442,388.5174080155525
742.0,1.0,1.39,1.0,748.0840696320622,3133.627852824884,-2347.034816031105,786.593036793779,3133.627852824884,2347.034816031105
742.0,1.0,1.39,1.5,752.0011044480934,4700.4417792373715,-4305.552224046714,394.8895551906571,4700.4417792373715,4305.552224046714
742.0,1.0,1.39,2.0,755.9181392641245,6267.2557056498135,-6264.0696320622665,3.186073587547071,6267.2557056498135,6264.0696320622665
743.0,1.0,1.52,-1.0,732.4159303679378,-3133.627852824884,760.0,-2373.627852824884,-3133.627852824884,-760.0
743.0,1.0,1.52,-0.5,736.3329651839689,-1566.813926412442,760.0,-806.813926412442,-1566.813926412442,-760.0
743.0,1.0,1.52,0.0,740.25,0.0,760.0,760.0,0.0,-760.0
743.0,1.0,1.52,0.5,744.1670348160311,1566.813926412442,176.48259198444748,1743.2965183968895,1566.813926412442,-176.48259198444748
743.0,1.0,1.52,1.0,748.0840696320622,3133.627852824884,-1782.034816031105,1351.593036793779,3133.627852824884,1782.034816031105
743.0,1.0,1.52,1.5,752.0011044480934,4700.4417792373715,-3740.5522240467144,959.8895551906571,4700.4417792373715,3740.5522240467144
743.0,1.0,1.52,2.0,755.9181392641245,6267.2557056498135,-5699.069632062267,568.1860735875462,6267.2557056498135,5699.069632062267
744.0,1.0,1.24,-1.0,732.4159303679378,-3133.627852824884,620.0,-2513.627852824884,-3133.627852824884,-620.0
744.0,1.0,1.24,-0.5,736.3329651839689,-1566.813926412442,620.0,-946.813926412442,-1566.813926412442,-620.0
744.0,1.0,1.24,0.0,740.25,0.0,620.0,620.0,0.0,-620.0
744.0,1.0,1.24,0.5,744.1670348160311,1566.813926412442,536.4825919844475,2103.2965183968895,1566.813926412442,-536.4825919844475
744.0,1.0,1.24,1.0,748.0840696320622,3133.627852824884,-1422.034816031105,1711.593036793779,3133.627852824884,1422.034816031105
744.0,1.0,1.24,1.5,752.0011044480934,4700.4417792373715,-3380.5522240467144,1319.8895551906571,4700.4417792373715,3380.5522240467144
744.0,1.0,1.24,2.0,755.9181392641245,6267.2557056498135,-5339.0696320622665,928.1860735875471,6267.2557056498135,5339.0696320622665
745.0,2.0,1.63,-1.0,732.4159303679378,-3133.627852824884,815.0,-2318.627852824884,-3133.627852824884,-815.0
745.0,2.0,1.63,-0.5,736.3329651839689,-1566.813926412442,815.0,-751.813926412442,-1566.813926412442,-815.0
745.0,2.0,1.63,0.0,740.25,0.0,815.0,815.0,0.0,-815.0
745.0,2.0,1.63,0.5,744.1670348160311,1566.813926412442,815.0,2381.813926412442,1566.813926412442,-815.0
745.0,2.0,1.63,1.0,748.0840696320622,3133.627852824884,-727.034816031105,2406.593036793779,3133.627852824884,727.034816031105
745.0,2.0,1.63,1.5,752.0011044480934,4700.4417792373715,-2685.5522240467144,2014.8895551906571,4700.4417792373715,2685.5522240467144
745.0,2.0,1.63,2.0,755.9181392641245,6267.2557056498135,-4644.069632062267,1623.1860735875462,6267.2557056498135,4644.069632062267
747.0,2.0,1.07,-1.0,732.4159303679378,-3133.627852824884,535.0,-2598.627852824884,-3133.627852824884,-535.0
747.0,2.0,1.07,-0.5,736.3329651839689,-1566.813926412442,535.0,-1031.813926412442,-1566.813926412442,-535.0
747.0,2.0,1.07,0.0,740.25,0.0,535.0,535.0,0.0,-535.0
747.0,2.0,1.07,0.5,744.1670348160311,1566.813926412442,535.0,2101.813926412442,1566.813926412442,-535.0
747.0,2.0,1.07,1.0,748.0840696320622,3133.627852824884,-7.034816031105007,3126.593036793779,3133.627852824884,7.034816031105038
747.0,2.0,1.07,1.5,752.0011044480934,4700.4417792373715,-1965.5522240467142,2734.889555190657,4700.4417792373715,1965.5522240467144
747.0,2.0,1.07,2.0,755.9181392641245,6267.2557056498135,-3924.069632062267,2343.1860735875466,6267.2557056498135,3924.069632062267
