as_of_date,core_vol_risk_score,geometry_stress_score,final_risk_score,core_vol_state,final_regime,downgrade_levels,downgrade_cap_applied
2026-03-02,0.669974,0.082341,0.523066,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-03,0.330751,0.089881,0.270534,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2026-03-04,0.668293,0.100595,0.526369,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-05,0.670002,0.21369,0.555924,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-06,0.669229,0.281944,0.572408,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-09,0.670004,0.384524,0.598634,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-10,1.0,0.422222,0.855556,HIGH_VOL_RISK_OFF,HIGH_VOL_RISK_OFF,0,False
2026-03-11,0.67331,0.189683,0.552403,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-12,0.93033,0.219246,0.752559,HIGH_VOL_RISK_OFF,HIGH_VOL_RISK_OFF,0,False
2026-03-13,0.684148,0.311905,0.591087,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-16,0.673328,0.262302,0.570572,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-17,0.670224,0.23373,0.5611,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-18,0.66999,0.200397,0.552592,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-19,0.608582,0.243452,0.5173,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-20,0.67,0.443452,0.613363,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-23,0.67,0.444841,0.61371,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-24,0.67005,0.281944,0.573023,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-25,0.670143,0.325397,0.583956,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-26,0.670739,0.326984,0.5848,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-27,0.670003,0.331548,0.585389,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-30,0.676061,0.335317,0.590875,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-03-31,1.0,0.368056,0.842014,HIGH_VOL_RISK_OFF,HIGH_VOL_RISK_OFF,0,False
2026-04-01,1.0,0.388095,0.847024,HIGH_VOL_RISK_OFF,HIGH_VOL_RISK_OFF,0,False
2026-04-02,0.999786,0.563294,0.890663,HIGH_VOL_RISK_OFF,HIGH_VOL_RISK_OFF,0,False
2026-04-03,0.760748,0.566468,0.712178,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-04-06,0.670016,0.535516,0.636391,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-04-07,0.67,0.520833,0.632708,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-04-08,0.67,0.600794,0.652698,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2026-04-09,0.330052,0.602183,0.398085,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2026-04-10,0.329934,0.549008,0.384703,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2026-04-13,0.015765,0.531151,0.144612,STABLE_LOW_VOL_TREND,STABLE_LOW_VOL_TREND,0,False
2026-04-14,0.329961,0.523611,0.378374,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2026-04-15,0.326854,0.459722,0.360071,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2026-04-16,0.291489,0.444444,0.329728,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2026-04-17,0.095586,0.392063,0.169705,STABLE_LOW_VOL_TREND,STABLE_LOW_VOL_TREND,0,False
2026-04-20,4e-06,0.426984,0.106749,STABLE_LOW_VOL_TREND,STABLE_LOW_VOL_TREND,0,False
2026-04-21,0.052906,0.425794,0.146128,STABLE_LOW_VOL_TREND,STABLE_LOW_VOL_TREND,0,False
2026-04-22,0.330225,0.460516,0.362798,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2026-04-23,0.327014,0.490476,0.36788,MID_VOL_CHOP,MID_VOL_CHOP,0,False
