as_of_date,comparison_model,comparison_state,hmm_v3_state,disagreement_type,is_opposite_bucket,severity_delta,vix,vvix,vvix_vix_ratio,vvix_vix_z_22d,vix_vix3m_ratio,vix9d_vix_ratio,term_structure_slope,realized_vol_5d,realized_vol_21d,realized_vol_trend,spy_return_1d,drawdown_21d,trend_persistence_21d,avg_pairwise_corr_21d,first_eigenvalue_share_21d,effective_rank_21d,log_det_corr_21d,warning,realized_state_1d,realized_risk_bucket_1d,vix_change_pct_1d,vvix_change_pct_1d,rv21_change_1d,vix_spike_1d,rv_expanded_1d,risk_bucket_correct_hmm_v3_1d,risk_bucket_correct_comparison_1d,exact_correct_hmm_v3_1d,exact_correct_comparison_1d,directional_vol_correct_hmm_v3_1d,directional_vol_correct_comparison_1d,v3_won_1d,v3_bucket_won_1d,realized_state_2d,realized_risk_bucket_2d,spy_return_2d,vix_change_pct_2d,vvix_change_pct_2d,rv21_change_2d,vix_spike_2d,rv_expanded_2d,risk_bucket_correct_hmm_v3_2d,risk_bucket_correct_comparison_2d,exact_correct_hmm_v3_2d,exact_correct_comparison_2d,directional_vol_correct_hmm_v3_2d,directional_vol_correct_comparison_2d,v3_won_2d,v3_bucket_won_2d,realized_state_3d,realized_risk_bucket_3d,spy_return_3d,vix_change_pct_3d,vvix_change_pct_3d,rv21_change_3d,vix_spike_3d,rv_expanded_3d,risk_bucket_correct_hmm_v3_3d,risk_bucket_correct_comparison_3d,exact_correct_hmm_v3_3d,exact_correct_comparison_3d,directional_vol_correct_hmm_v3_3d,directional_vol_correct_comparison_3d,v3_won_3d,v3_bucket_won_3d,v3_result,win_horizon,why
2026-03-03,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,19.86,110.89,5.583585095669688,-0.39695195007356987,0.9211502782931354,0.933031218529708,1.6999999999999993,12.49277290561282,15.541939672167828,-3.0491667665550075,0.0010677353771444409,0.019124271900375783,0.42857142857142855,0.20473,0.363719,6.018754,-6.12046,,MID_VOL_CHOP,LOW_RISK,0.07955689828801615,0.022995761565515416,-0.006293143789605438,False,False,True,False,False,False,0.3333333333333333,1.0,tie,true,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.0058798578303033144,0.18680765357502516,0.04626206150238965,0.1284605574643667,True,True,False,True,False,True,0.3333333333333333,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.004738989893080081,0.06495468277945626,-0.035620885562268945,0.23283097184264,False,True,False,True,False,True,0.3333333333333333,0.6666666666666666,false,false,loss,T+1,risk_bucket
2026-03-03,hmm_v2_core_plus_sector_corr,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,19.86,110.89,5.583585095669688,-0.39695195007356987,0.9211502782931354,0.933031218529708,1.6999999999999993,12.49277290561282,15.541939672167828,-3.0491667665550075,0.0010677353771444409,0.019124271900375783,0.42857142857142855,0.20473,0.363719,6.018754,-6.12046,,MID_VOL_CHOP,LOW_RISK,0.07955689828801615,0.022995761565515416,-0.006293143789605438,False,False,True,False,False,False,0.3333333333333333,1.0,tie,true,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.0058798578303033144,0.18680765357502516,0.04626206150238965,0.1284605574643667,True,True,False,True,False,True,0.3333333333333333,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.004738989893080081,0.06495468277945626,-0.035620885562268945,0.23283097184264,False,True,False,True,False,True,0.3333333333333333,0.6666666666666666,false,false,loss,T+1,risk_bucket
2026-03-10,hmm_v1_core,HIGH_VOL_RISK_OFF,VOL_EXPANSION_TRANSITION,v3_downgrade,False,-1,29.49,140.44,4.762292302475416,-2.277868047412031,1.0700290275761974,1.0515428958969144,-1.9299999999999997,15.887945571994248,16.3373685892124,-0.4494230172181517,0.006018173692834861,0.03231851467450855,0.47619047619047616,0.330288,0.427605,5.023977,-8.524266,,STABLE_LOW_VOL_TREND,LOW_RISK,-0.13530010172939977,-0.12702933637140423,-1.4442517202082303,False,False,False,False,False,False,0.0,0.0,true,tie,STABLE_LOW_VOL_TREND,LOW_RISK,0.00990615224191882,-0.15462868769074256,-0.10737681572201652,-4.251834951263662,False,False,False,False,False,False,0.0,0.0,true,tie,MID_VOL_CHOP,LOW_RISK,-7.448234768347994e-05,-0.17836554764326884,-0.12781258900598125,-4.02827574503042,False,False,False,False,False,False,0.0,0.0,true,tie,win,T+1,severity_distance
2026-03-12,hmm_v1_core,HIGH_VOL_RISK_OFF,VOL_EXPANSION_TRANSITION,v3_downgrade,False,-1,24.93,125.36,5.028479743281188,-1.0780112166936973,0.9772638181105449,1.0605695948656237,0.5800000000000018,17.162204133353892,12.085533637948737,5.076670495405155,-0.009882734714949493,0.022732514559188118,0.5238095238095238,0.240352,0.359767,5.504851,-7.910343,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.02807862013638185,-0.022894065092533555,0.22355920623324188,False,True,True,True,True,False,0.3333333333333333,0.3333333333333333,true,tie,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.01691865181798069,0.09466506217408743,0.038449266113592895,0.35711536779710684,False,True,True,True,True,False,1.0,1.0,true,tie,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.021978021978022122,0.09065383072603295,0.04538927887683486,0.4077832899434046,False,True,True,True,True,False,1.0,1.0,true,tie,win,T+1,severity_distance
2026-03-31,hmm_v1_core,HIGH_VOL_RISK_OFF,VOL_EXPANSION_TRANSITION,v3_downgrade,False,-1,31.05,133.18,4.289210950080515,-2.0359810821642825,1.0608131192347114,0.9706924315619968,-1.7800000000000011,18.012917384298106,13.877035037330781,4.135882346967325,-0.0037915889917532475,0.07853784228378428,0.42857142857142855,0.297365,0.445557,5.450631,-7.11033,,MID_VOL_CHOP,LOW_RISK,-0.014170692431561993,-0.040096110527106155,-1.969954453429068e-05,False,False,False,False,False,False,0.3333333333333333,0.3333333333333333,true,tie,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.030490694808682717,-0.18679549114331728,-0.12862291635380696,5.1497443078466425,False,True,True,True,True,False,0.3333333333333333,0.3333333333333333,true,tie,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.03439287181269557,-0.20966183574879227,-0.137783450968614,5.181177553188949,False,True,True,True,True,False,0.3333333333333333,0.3333333333333333,true,tie,win,T+1,severity_distance
2026-04-01,hmm_v1_core,HIGH_VOL_RISK_OFF,VOL_EXPANSION_TRANSITION,v3_downgrade,False,-1,30.61,127.84,4.17641293694871,-2.207237623897307,1.0508067284586338,0.9895459000326691,-1.4800000000000004,15.267264460528152,13.877015337786247,1.3902491227419045,0.034412762853246015,0.08203164805729829,0.42857142857142855,0.293214,0.445784,5.379039,-7.550837,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.1751061744527932,-0.09222465581977479,5.149764007391177,False,True,True,True,True,False,0.3333333333333333,0.3333333333333333,true,tie,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.038329791620412834,-0.19830120875530877,-0.10176783479349194,5.181197252733483,False,True,True,True,True,False,0.3333333333333333,0.3333333333333333,true,tie,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.04018522629959698,-0.2201894805619078,-0.09785669586983736,4.696128124081859,False,True,True,True,True,False,0.3333333333333333,0.3333333333333333,true,tie,win,T+1,severity_distance
2026-04-02,hmm_v1_core,HIGH_VOL_RISK_OFF,VOL_EXPANSION_TRANSITION,v3_downgrade,False,-1,25.25,116.05,4.596039603960396,-0.7890480489511752,0.9882583170254403,0.9710891089108911,0.3000000000000007,33.963517031168756,19.026779345177424,14.936737685991332,0.003786717360642733,0.05044182085510893,0.42857142857142855,0.283519,0.521071,4.548987,-9.478594,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.028118811881188144,-0.010512710038776407,0.03143324534230629,False,True,True,True,True,False,0.3333333333333333,0.3333333333333333,true,tie,STABLE_LOW_VOL_TREND,LOW_RISK,0.005580425584104987,-0.05465346534653459,-0.006204222317966357,-0.4536358833093175,False,False,False,False,False,False,0.3333333333333333,0.3333333333333333,true,tie,STABLE_LOW_VOL_TREND,LOW_RISK,0.008631262647942561,-0.0427722772277227,-0.02171477811288236,-0.4562612355325726,False,False,False,False,False,False,0.0,0.0,true,tie,win,T+1,severity_distance
2026-04-09,hmm_v1_core,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,v3_upgrade,True,1,21.04,111.07,5.278992395437262,2.054578202969236,0.927689594356261,0.9106463878326997,1.6400000000000006,15.038523385724464,19.662089974566122,-4.623566588841658,0.006788202163924506,0.004793863854266538,0.5714285714285714,0.273633,0.541402,4.398665,-10.17253,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.07366920152091261,-0.051318988025569334,0.09828210955327066,False,True,True,False,True,False,0.3333333333333333,1.0,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.008818734252260096,-0.08602661596958172,-0.03394255874673624,-0.23485313952006237,False,False,False,True,False,False,0.0,1.0,false,false,STABLE_LOW_VOL_TREND,LOW_RISK,0.017400326070846406,-0.09125475285171092,-0.07598811560277297,-0.27173746252646325,False,False,False,True,False,False,0.0,1.0,false,false,loss,T+1,risk_bucket
2026-04-09,hmm_v2_core_plus_sector_corr,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,v3_upgrade,True,1,21.04,111.07,5.278992395437262,2.054578202969236,0.927689594356261,0.9106463878326997,1.6400000000000006,15.038523385724464,19.662089974566122,-4.623566588841658,0.006788202163924506,0.004793863854266538,0.5714285714285714,0.273633,0.541402,4.398665,-10.17253,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.07366920152091261,-0.051318988025569334,0.09828210955327066,False,True,True,False,True,False,0.3333333333333333,1.0,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.008818734252260096,-0.08602661596958172,-0.03394255874673624,-0.23485313952006237,False,False,False,True,False,False,0.0,1.0,false,false,STABLE_LOW_VOL_TREND,LOW_RISK,0.017400326070846406,-0.09125475285171092,-0.07598811560277297,-0.27173746252646325,False,False,False,True,False,False,0.0,1.0,false,false,loss,T+1,risk_bucket
2026-04-10,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,19.49,105.37,5.406362237044639,2.1511730971466467,0.8936267767079321,0.8517188301693177,2.3200000000000003,14.813576433621666,19.760372084119393,-4.946795650497727,0.002016841361441424,0.0,0.5714285714285714,0.251679,0.521161,4.659308,-9.67777,,MID_VOL_CHOP,LOW_RISK,-0.01334017444843505,0.01831640884502228,-0.33313524907333303,False,False,True,False,True,False,0.6666666666666666,0.3333333333333333,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.010540572370745682,-0.01898409440738824,-0.026003606339565444,-0.3700195720797339,False,False,True,False,False,False,1.0,0.0,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.022553291720645463,-0.057978450487429445,-0.0946189617538199,-0.20312005182521276,False,False,True,False,False,False,1.0,0.0,true,true,win,T+1,risk_bucket
