as_of_date,model_name,horizon,predicted_state,realized_state,vix_change_pct,vvix_change_pct,rv21_change,spy_return_pct,vix,vvix_vix_ratio,term_structure_slope,avg_pairwise_corr_21d,first_eigenvalue_share_21d,effective_rank_21d,log_det_corr_21d
2026-03-02,hmm_v3_core_plus_sector_geometry,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.06602254428341392,0.06471435429668748,0.0031297206559948165,-0.003759453276407143,18.63,5.590445517981751,2.1799999999999997,0.201333,0.368234,6.094474,-6.034033
2026-03-02,hmm_v3_core_plus_sector_geometry,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.15083199141170178,0.08919827172347561,-0.003163423133610621,-0.002695732000524642,18.63,5.590445517981751,2.1799999999999997,0.201333,0.368234,6.094474,-6.034033
2026-03-02,hmm_v3_core_plus_sector_geometry,3,STABLE_LOW_VOL_TREND,HIGH_VOL_RISK_OFF,0.2651637144390768,0.11397023523763794,0.1315902781203615,-0.009617206055925531,18.63,5.590445517981751,2.1799999999999997,0.201333,0.368234,6.094474,-6.034033
2026-03-03,hmm_v1_core,2,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.18680765357502516,0.04626206150238965,0.1284605574643667,-0.0058798578303033144,19.86,5.583585095669688,1.6999999999999993,,,,
2026-03-03,hmm_v1_core,3,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.06495468277945626,-0.035620885562268945,0.23283097184264,0.004738989893080081,19.86,5.583585095669688,1.6999999999999993,,,,
2026-03-03,hmm_v3_core_plus_sector_geometry,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.18680765357502516,0.04626206150238965,0.1284605574643667,-0.0058798578303033144,19.86,5.583585095669688,1.6999999999999993,0.20473,0.363719,6.018754,-6.12046
2026-03-03,hmm_v3_core_plus_sector_geometry,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.06495468277945626,-0.035620885562268945,0.23283097184264,0.004738989893080081,19.86,5.583585095669688,1.6999999999999993,0.20473,0.363719,6.018754,-6.12046
2026-03-03,hmm_v3_1_meta_blend,2,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.18680765357502516,0.04626206150238965,0.1284605574643667,-0.0058798578303033144,19.86,5.583585095669688,1.6999999999999993,0.20473,0.363719,6.018754,-6.12046
2026-03-03,hmm_v3_1_meta_blend,3,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.06495468277945626,-0.035620885562268945,0.23283097184264,0.004738989893080081,19.86,5.583585095669688,1.6999999999999993,0.20473,0.363719,6.018754,-6.12046
2026-04-20,hmm_v1_core,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.07951945080091538,0.031746031746031855,0.0570141132353541,-0.0017727752374252503,17.48,5.442219679633867,3.030000000000001,,,,
2026-04-20,hmm_v1_core,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.11556064073226535,0.0710606538421108,-0.5814368611932181,-0.0052761167780513984,17.48,5.442219679633867,3.030000000000001,,,,
2026-04-20,hmm_v2_core_plus_sector_corr,1,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.07951945080091538,0.031746031746031855,0.0570141132353541,-0.0017727752374252503,17.48,5.442219679633867,3.030000000000001,0.17345,0.491072,,
2026-04-20,hmm_v2_core_plus_sector_corr,2,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.11556064073226535,0.0710606538421108,-0.5814368611932181,-0.0052761167780513984,17.48,5.442219679633867,3.030000000000001,0.17345,0.491072,,
2026-04-20,hmm_v3_core_plus_sector_geometry,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.07951945080091538,0.031746031746031855,0.0570141132353541,-0.0017727752374252503,17.48,5.442219679633867,3.030000000000001,0.17345,0.491072,5.017255,-8.636281
2026-04-20,hmm_v3_core_plus_sector_geometry,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.11556064073226535,0.0710606538421108,-0.5814368611932181,-0.0052761167780513984,17.48,5.442219679633867,3.030000000000001,0.17345,0.491072,5.017255,-8.636281
2026-04-20,hmm_v3_1_meta_blend,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.07951945080091538,0.031746031746031855,0.0570141132353541,-0.0017727752374252503,17.48,5.442219679633867,3.030000000000001,0.17345,0.491072,5.017255,-8.636281
2026-04-20,hmm_v3_1_meta_blend,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.11556064073226535,0.0710606538421108,-0.5814368611932181,-0.0052761167780513984,17.48,5.442219679633867,3.030000000000001,0.17345,0.491072,5.017255,-8.636281
2026-04-23,hmm_v1_core,1,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.020613107822409882,-0.0016205813835714622,0.06276478394904927,-0.001252762411497188,18.92,5.218287526427061,2.3199999999999967,,,,
2026-04-23,hmm_v2_core_plus_sector_corr,1,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.020613107822409882,-0.0016205813835714622,0.06276478394904927,-0.001252762411497188,18.92,5.218287526427061,2.3199999999999967,0.159283,0.513305,,
2026-04-23,hmm_v3_core_plus_sector_geometry,1,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.020613107822409882,-0.0016205813835714622,0.06276478394904927,-0.001252762411497188,18.92,5.218287526427061,2.3199999999999967,0.159283,0.513305,4.758012,-8.849616
2026-04-23,hmm_v3_1_meta_blend,1,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.020613107822409882,-0.0016205813835714622,0.06276478394904927,-0.001252762411497188,18.92,5.218287526427061,2.3199999999999967,0.159283,0.513305,4.758012,-8.849616
2026-05-01,hmm_v1_core,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.005920663114268754,0.01568836712913546,0.11758836110424475,0.0001805881617513716,16.89,5.547661338069863,3.1899999999999977,,,,
2026-05-01,hmm_v1_core,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.082889283599763,0.04898612593383134,0.42024445854160497,-0.0029310847791962358,16.89,5.547661338069863,3.1899999999999977,,,,
2026-05-01,hmm_v1_core,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.02901124925991705,0.01664887940234805,0.7435534212521002,0.009154430661091562,16.89,5.547661338069863,3.1899999999999977,,,,
2026-05-01,hmm_v2_core_plus_sector_corr,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.005920663114268754,0.01568836712913546,0.11758836110424475,0.0001805881617513716,16.89,5.547661338069863,3.1899999999999977,0.202176,0.444802,,
2026-05-01,hmm_v2_core_plus_sector_corr,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.082889283599763,0.04898612593383134,0.42024445854160497,-0.0029310847791962358,16.89,5.547661338069863,3.1899999999999977,0.202176,0.444802,,
2026-05-01,hmm_v2_core_plus_sector_corr,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.02901124925991705,0.01664887940234805,0.7435534212521002,0.009154430661091562,16.89,5.547661338069863,3.1899999999999977,0.202176,0.444802,,
2026-05-01,hmm_v3_core_plus_sector_geometry,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.005920663114268754,0.01568836712913546,0.11758836110424475,0.0001805881617513716,16.89,5.547661338069863,3.1899999999999977,0.202176,0.444802,4.89047,-8.866235
2026-05-01,hmm_v3_core_plus_sector_geometry,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.082889283599763,0.04898612593383134,0.42024445854160497,-0.0029310847791962358,16.89,5.547661338069863,3.1899999999999977,0.202176,0.444802,4.89047,-8.866235
2026-05-01,hmm_v3_core_plus_sector_geometry,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.02901124925991705,0.01664887940234805,0.7435534212521002,0.009154430661091562,16.89,5.547661338069863,3.1899999999999977,0.202176,0.444802,4.89047,-8.866235
2026-05-01,hmm_v3_1_meta_blend,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.005920663114268754,0.01568836712913546,0.11758836110424475,0.0001805881617513716,16.89,5.547661338069863,3.1899999999999977,0.202176,0.444802,4.89047,-8.866235
2026-05-01,hmm_v3_1_meta_blend,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.082889283599763,0.04898612593383134,0.42024445854160497,-0.0029310847791962358,16.89,5.547661338069863,3.1899999999999977,0.202176,0.444802,4.89047,-8.866235
2026-05-01,hmm_v3_1_meta_blend,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.02901124925991705,0.01664887940234805,0.7435534212521002,0.009154430661091562,16.89,5.547661338069863,3.1899999999999977,0.202176,0.444802,4.89047,-8.866235
2026-05-04,hmm_v1_core,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.07651559741024139,0.03278344015971424,0.3026560974373602,-0.0031111111111111756,16.99,5.601530311948205,3.3800000000000026,,,,
2026-05-04,hmm_v1_core,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.022954679223072372,0.0009456761584534235,0.6259650601478555,0.008972222222222381,16.99,5.601530311948205,3.3800000000000026,,,,
2026-05-04,hmm_v2_core_plus_sector_corr,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.07651559741024139,0.03278344015971424,0.3026560974373602,-0.0031111111111111756,16.99,5.601530311948205,3.3800000000000026,0.225342,0.4608,,
2026-05-04,hmm_v2_core_plus_sector_corr,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.022954679223072372,0.0009456761584534235,0.6259650601478555,0.008972222222222381,16.99,5.601530311948205,3.3800000000000026,0.225342,0.4608,,
2026-05-04,hmm_v3_core_plus_sector_geometry,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.07651559741024139,0.03278344015971424,0.3026560974373602,-0.0031111111111111756,16.99,5.601530311948205,3.3800000000000026,0.225342,0.4608,4.722843,-9.182559
2026-05-04,hmm_v3_core_plus_sector_geometry,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.022954679223072372,0.0009456761584534235,0.6259650601478555,0.008972222222222381,16.99,5.601530311948205,3.3800000000000026,0.225342,0.4608,4.722843,-9.182559
2026-05-04,hmm_v3_1_meta_blend,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.07651559741024139,0.03278344015971424,0.3026560974373602,-0.0031111111111111756,16.99,5.601530311948205,3.3800000000000026,0.225342,0.4608,4.722843,-9.182559
2026-05-04,hmm_v3_1_meta_blend,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.022954679223072372,0.0009456761584534235,0.6259650601478555,0.008972222222222381,16.99,5.601530311948205,3.3800000000000026,0.225342,0.4608,4.722843,-9.182559
2026-05-05,hmm_v1_core,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.049753963914707544,-0.030827144165225362,0.32330896271049525,0.012121043245653107,18.29,5.373974849644615,2.7600000000000016,,,,
2026-05-05,hmm_v2_core_plus_sector_corr,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.049753963914707544,-0.030827144165225362,0.32330896271049525,0.012121043245653107,18.29,5.373974849644615,2.7600000000000016,0.235115,0.470613,,
2026-05-05,hmm_v3_core_plus_sector_geometry,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.049753963914707544,-0.030827144165225362,0.32330896271049525,0.012121043245653107,18.29,5.373974849644615,2.7600000000000016,0.235115,0.470613,4.634957,-9.463711
2026-05-05,hmm_v3_1_meta_blend,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.049753963914707544,-0.030827144165225362,0.32330896271049525,0.012121043245653107,18.29,5.373974849644615,2.7600000000000016,0.235115,0.470613,4.634957,-9.463711
2026-05-07,hmm_v1_core,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.01782633697527325,-0.0009605122732123661,0.22684864207239208,-0.002128240109140478,17.39,5.388154111558367,3.1799999999999997,,,,
2026-05-07,hmm_v1_core,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.011500862564692294,0.03287086446104581,0.33187179680930434,0.006575716234652251,17.39,5.388154111558367,3.1799999999999997,,,,
2026-05-07,hmm_v1_core,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.05692926969522705,0.04653148345784408,0.3329163957053858,0.008567530695770875,17.39,5.388154111558367,3.1799999999999997,,,,
2026-05-07,hmm_v2_core_plus_sector_corr,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.01782633697527325,-0.0009605122732123661,0.22684864207239208,-0.002128240109140478,17.39,5.388154111558367,3.1799999999999997,0.222853,0.455948,,
2026-05-07,hmm_v2_core_plus_sector_corr,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.011500862564692294,0.03287086446104581,0.33187179680930434,0.006575716234652251,17.39,5.388154111558367,3.1799999999999997,0.222853,0.455948,,
2026-05-07,hmm_v2_core_plus_sector_corr,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.05692926969522705,0.04653148345784408,0.3329163957053858,0.008567530695770875,17.39,5.388154111558367,3.1799999999999997,0.222853,0.455948,,
2026-05-07,hmm_v3_core_plus_sector_geometry,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.01782633697527325,-0.0009605122732123661,0.22684864207239208,-0.002128240109140478,17.39,5.388154111558367,3.1799999999999997,0.222853,0.455948,5.099735,-7.990304
2026-05-07,hmm_v3_core_plus_sector_geometry,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.011500862564692294,0.03287086446104581,0.33187179680930434,0.006575716234652251,17.39,5.388154111558367,3.1799999999999997,0.222853,0.455948,5.099735,-7.990304
