horizon,realized_state,count,percent
1,HIGH_VOL_RISK_OFF,2,0.02702702702702703
1,MID_VOL_CHOP,17,0.22972972972972974
1,STABLE_LOW_VOL_TREND,18,0.24324324324324326
1,VOL_EXPANSION_TRANSITION,37,0.5
2,HIGH_VOL_RISK_OFF,4,0.0547945205479452
2,MID_VOL_CHOP,8,0.1095890410958904
2,STABLE_LOW_VOL_TREND,25,0.3424657534246575
2,VOL_EXPANSION_TRANSITION,36,0.4931506849315068
3,HIGH_VOL_RISK_OFF,6,0.08333333333333333
3,MID_VOL_CHOP,7,0.09722222222222222
3,STABLE_LOW_VOL_TREND,25,0.3472222222222222
3,VOL_EXPANSION_TRANSITION,34,0.4722222222222222
