model_name,horizon,predicted_state,realized_state,count,row_percent
hmm_v4_path_aware_meta,1,STABLE_LOW_VOL_TREND,HIGH_VOL_RISK_OFF,27,0.019230769230769232
hmm_v4_path_aware_meta,1,STABLE_LOW_VOL_TREND,MID_VOL_CHOP,407,0.2898860398860399
hmm_v4_path_aware_meta,1,STABLE_LOW_VOL_TREND,STABLE_LOW_VOL_TREND,266,0.18945868945868946
hmm_v4_path_aware_meta,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,704,0.5014245014245015
hmm_v4_path_aware_meta,2,STABLE_LOW_VOL_TREND,HIGH_VOL_RISK_OFF,52,0.03706343549536707
hmm_v4_path_aware_meta,2,STABLE_LOW_VOL_TREND,MID_VOL_CHOP,198,0.14112615823235922
hmm_v4_path_aware_meta,2,STABLE_LOW_VOL_TREND,STABLE_LOW_VOL_TREND,438,0.3121881682109765
hmm_v4_path_aware_meta,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,715,0.5096222380612973
hmm_v4_path_aware_meta,3,STABLE_LOW_VOL_TREND,HIGH_VOL_RISK_OFF,91,0.06490727532097004
hmm_v4_path_aware_meta,3,STABLE_LOW_VOL_TREND,MID_VOL_CHOP,137,0.09771754636233952
hmm_v4_path_aware_meta,3,STABLE_LOW_VOL_TREND,STABLE_LOW_VOL_TREND,487,0.34736091298145505
hmm_v4_path_aware_meta,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,687,0.4900142653352354
