as_of_date,model_name,horizon,predicted_state,realized_state,vix_change_pct,vvix_change_pct,rv21_change,spy_return_pct,vix,vvix_vix_ratio,term_structure_slope,avg_pairwise_corr_21d,first_eigenvalue_share_21d,effective_rank_21d,log_det_corr_21d
2021-01-27,hmm_v4_path_aware_meta,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.04264392185352961,-0.17504377609317223,0.6192919420940726,0.011467634831466844,23.450000762939453,6.083155192128157,3.039999008178711,0.585662,0.63596,3.394234,-13.038222
2021-01-28,hmm_v4_path_aware_meta,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.11439840532113388,-0.13648370003468724,0.6293608716393067,0.004008959585777516,25.350000381469727,5.375936754577505,0.2700004577636719,0.57082,0.623317,3.491121,-12.923804
2021-01-28,hmm_v4_path_aware_meta,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.10414206143077032,-0.16987086684209574,0.937874143143187,0.016541838767884398,25.350000381469727,5.375936754577505,0.2700004577636719,0.57082,0.623317,3.491121,-12.923804
2021-01-29,hmm_v4_path_aware_meta,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.028138511160012314,-0.03635770014368522,0.4504382743213533,0.013844218452191193,23.100000381469727,5.286580118177998,4.119998931884766,0.582557,0.633425,3.41562,-13.094237
2021-01-29,hmm_v4_path_aware_meta,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.01688317275137019,-0.07361615862243076,0.7589515458252336,0.026499869557716327,23.100000381469727,5.286580118177998,4.119998931884766,0.582557,0.633425,3.41562,-13.094237
2021-01-29,hmm_v4_path_aware_meta,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.03203462159731285,-0.043727512669374025,0.03673392142924925,0.020978791548011078,23.100000381469727,5.286580118177998,4.119998931884766,0.582557,0.633425,3.41562,-13.094237
2021-02-01,hmm_v4_path_aware_meta,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.011581216601222133,-0.038664199863684856,0.3085132715038803,0.012482835997078778,22.450000762939453,5.24187065950761,3.239999771118164,0.60037,0.649098,3.267641,-13.955376
2021-02-01,hmm_v4_path_aware_meta,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.02939865590123447,-0.013851098310596055,0.16231930233858805,-0.005082365149958412,22.450000762939453,5.24187065950761,3.239999771118164,0.60037,0.649098,3.267641,-13.955376
2021-02-03,hmm_v4_path_aware_meta,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.03062078597164286,-0.006251033868553857,0.5760236552306921,-0.012034823564295749,23.84000015258789,4.898489850329137,1.539999008178711,0.584128,0.635427,3.409746,-13.240611
2021-02-03,hmm_v4_path_aware_meta,2,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.005872457581894808,0.013187197564865638,0.5500309762582809,-0.007875141432844068,23.84000015258789,4.898489850329137,1.539999008178711,0.584128,0.635427,3.409746,-13.240611
2021-02-03,hmm_v4_path_aware_meta,3,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,-0.04949665677949622,0.04101730575096152,0.7220839153293248,-0.014669030255901938,23.84000015258789,4.898489850329137,1.539999008178711,0.584128,0.635427,3.409746,-13.240611
2021-02-12,hmm_v4_path_aware_meta,1,STABLE_LOW_VOL_TREND,VOL_EXPANSION_TRANSITION,0.009722934657591553,-0.03180661536443563,0.2133054501197691,-0.0044271508502881085,20.56999969482422,5.731648190327619,3.8600006103515625,0.467724,0.544344,4.032132,-12.094912
2021-02-22,hmm_v3_core_plus_sector_geometry,2,MID_VOL_CHOP,VOL_EXPANSION_TRANSITION,0.08897486099782004,0.021767786456904803,0.04597924229308248,-0.006068996988112696,20.68000030517578,5.131528103508894,3.8400001525878906,0.496623,0.567855,4.129198,-10.855149
