model_name,horizon,accuracy,adjacent_tolerant_accuracy,severe_miss_rate,brier_vol_expansion,brier_vix_spike,risk_bucket_accuracy,false_alarm_rate,missed_risk_rate,vix_directional_accuracy,vvix_directional_accuracy,rv_directional_accuracy,combined_vol_directional_accuracy,avg_lead_quality,notes
heuristic,1,0.4893162393162393,0.7991452991452992,0.20085470085470086,0.2631915814462842,0.4574236597938625,0.5192307692307693,0.4650997150997151,0.01566951566951567,0.5113960113960114,0.5690883190883191,0.665954415954416,0.5821462488129154,0.7001424501424501,
heuristic,2,0.5060584461867427,0.684248039914469,0.315751960085531,0.24803299632261938,0.48938113317222737,0.5509622238061297,0.436208125445474,0.012829650748396294,0.49964362081254454,0.5488239486813971,0.5823235923022095,0.5435970539320504,0.7134711332858161,
heuristic,3,0.48787446504992865,0.6490727532097005,0.3509272467902996,0.2465400252620107,0.5205656572163616,0.5549215406562055,0.43009985734664763,0.014978601997146932,0.4871611982881598,0.5385164051355207,0.5549215406562055,0.5268663813599619,0.7018544935805991,
hmm_v1_core,1,0.3611111111111111,0.8041310541310541,0.19586894586894588,0.5045355665046289,0.3746146690687315,0.5270655270655271,0.18162393162393162,0.2913105413105413,0.5277777777777778,0.5705128205128205,0.7193732193732194,0.6058879392212725,0.45584045584045585,
hmm_v1_core,2,0.3406985032074127,0.766928011404134,0.233071988595866,0.4662608726141091,0.3646657322007092,0.5374198146828225,0.1632216678545973,0.2993585174625802,0.4839629365645046,0.5124732715609408,0.6507483962936564,0.5490615348063672,0.46756949394155384,
hmm_v1_core,3,0.3209700427960057,0.7496433666191156,0.25035663338088443,0.4400802823512917,0.3484717659461562,0.5420827389443652,0.15691868758915833,0.30099857346647646,0.4714693295292439,0.47860199714693297,0.6255349500713266,0.5252020922491678,0.47075606276747506,
hmm_v2_core_plus_sector_corr,1,0.36253561253561256,0.8034188034188035,0.19658119658119658,0.5014576546617451,0.35203627289536327,0.5313390313390314,0.16951566951566951,0.29914529914529914,0.5341880341880342,0.5804843304843305,0.7243589743589743,0.6130104463437797,0.4472934472934473,
hmm_v2_core_plus_sector_corr,2,0.3449750534568781,0.7612259444048468,0.23877405559515325,0.46214891246956236,0.3380706644296479,0.533856022808268,0.15538132573057734,0.31076265146115467,0.4775481111903065,0.5153243050605845,0.6578759800427655,0.5502494654312188,0.451176051318603,
hmm_v2_core_plus_sector_corr,3,0.32453637660485024,0.7353780313837375,0.26462196861626247,0.42583217217322894,0.32117338472672396,0.5427960057061341,0.14693295292439373,0.3102710413694722,0.4657631954350927,0.48502139800285304,0.6340941512125535,0.5282929148834997,0.4629101283880171,
hmm_v3_1_meta_blend,1,0.37464387464387466,0.8112535612535613,0.18874643874643873,0.45217841911741735,0.32796788208038036,0.5256410256410257,0.18304843304843305,0.2913105413105413,0.5270655270655271,0.5726495726495726,0.7207977207977208,0.6068376068376068,0.45584045584045585,
hmm_v3_1_meta_blend,2,0.35210263720598717,0.7754811119030649,0.22451888809693513,0.42683794898746613,0.3283265562576016,0.5388453314326443,0.1632216678545973,0.29793300071275836,0.48610121168923737,0.5131860299358517,0.6550249465431219,0.5514373960560703,0.47042052744119744,
hmm_v3_1_meta_blend,3,0.3252496433666191,0.7582025677603423,0.24179743223965763,0.41033019506926605,0.32159126639594227,0.5449358059914408,0.15620542082738945,0.29885877318116977,0.4693295292439372,0.48216833095577744,0.6291012838801712,0.5268663813599619,0.47075606276747506,
hmm_v3_core_plus_sector_geometry,1,0.306980056980057,0.7934472934472935,0.20655270655270655,0.5796209488134416,0.3092528348533276,0.4893162393162393,0.1396011396011396,0.3710826210826211,0.5491452991452992,0.5804843304843305,0.6894586894586895,0.6063627730294396,0.3853276353276353,
hmm_v3_core_plus_sector_geometry,2,0.2936564504632929,0.7533856022808268,0.2466143977191732,0.5546008945810784,0.3169630385582701,0.4832501781895937,0.12972202423378476,0.38702779757662154,0.49109052031361367,0.5217391304347826,0.609408410548824,0.5407460204324067,0.3820384889522452,
hmm_v3_core_plus_sector_geometry,3,0.2746077032810271,0.7211126961483595,0.2788873038516405,0.5329923824278231,0.31995088456762344,0.4764621968616263,0.1291012838801712,0.39443651925820256,0.47218259629101283,0.48858773181169757,0.5763195435092725,0.5123632905373275,0.38088445078459343,
hmm_v4_path_aware_meta,1,0.18945868945868946,0.4793447293447293,0.5206552706552706,0.7200854700854701,0.0876068376068376,0.4793447293447293,0.0,0.5206552706552706,0.6217948717948718,0.6303418803418803,0.6844729344729344,0.6455365622032289,0.45584045584045585,
hmm_v4_path_aware_meta,2,0.3121881682109765,0.4533143264433357,0.5466856735566643,0.7320028510334996,0.1397006414825374,0.4533143264433357,0.0,0.5466856735566643,0.5837491090520314,0.5851746258018532,0.5937277263007841,0.5875504870515561,0.47042052744119744,
hmm_v4_path_aware_meta,3,0.34736091298145505,0.4450784593437946,0.5549215406562055,0.7232524964336662,0.1704707560627675,0.4450784593437946,0.0,0.5549215406562055,0.5699001426533523,0.5706134094151213,0.5670470756062768,0.5691868758915835,0.47075606276747506,
