as_of_date,model_name,horizon,predicted_state,realized_state,vix_change_pct,vvix_change_pct,rv21_change,spy_return_pct,vix,vvix_vix_ratio,term_structure_slope,avg_pairwise_corr_21d,first_eigenvalue_share_21d,effective_rank_21d,log_det_corr_21d
2021-01-25,heuristic,2,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,-0.08932035872079791,-0.03510553686395135,-0.4690752985922799,0.011080421479850333,25.75,5.741359081083131,1.6200008392333984,,,,
2021-01-25,heuristic,3,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,-0.015533965768166014,-0.07819262611569056,-0.479144228137514,0.01859162986010654,25.75,5.741359081083131,1.6200008392333984,,,,
2021-01-25,hmm_v1_core,2,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,-0.08932035872079791,-0.03510553686395135,-0.4690752985922799,0.011080421479850333,25.75,5.741359081083131,1.6200008392333984,,,,
2021-01-25,hmm_v1_core,3,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,-0.015533965768166014,-0.07819262611569056,-0.479144228137514,0.01859162986010654,25.75,5.741359081083131,1.6200008392333984,,,,
2021-01-25,hmm_v2_core_plus_sector_corr,2,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,-0.08932035872079791,-0.03510553686395135,-0.4690752985922799,0.011080421479850333,25.75,5.741359081083131,1.6200008392333984,0.655223,0.695302,,
2021-01-25,hmm_v2_core_plus_sector_corr,3,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,-0.015533965768166014,-0.07819262611569056,-0.479144228137514,0.01859162986010654,25.75,5.741359081083131,1.6200008392333984,0.655223,0.695302,,
2021-01-25,hmm_v3_core_plus_sector_geometry,2,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,-0.08932035872079791,-0.03510553686395135,-0.4690752985922799,0.011080421479850333,25.75,5.741359081083131,1.6200008392333984,0.655223,0.695302,3.150212,-12.288512
2021-01-25,hmm_v3_core_plus_sector_geometry,3,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,-0.015533965768166014,-0.07819262611569056,-0.479144228137514,0.01859162986010654,25.75,5.741359081083131,1.6200008392333984,0.655223,0.695302,3.150212,-12.288512
2021-01-25,hmm_v3_1_meta_blend,2,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,-0.08932035872079791,-0.03510553686395135,-0.4690752985922799,0.011080421479850333,25.75,5.741359081083131,1.6200008392333984,0.655223,0.695302,3.150212,-12.288512
2021-01-25,hmm_v3_1_meta_blend,3,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,-0.015533965768166014,-0.07819262611569056,-0.479144228137514,0.01859162986010654,25.75,5.741359081083131,1.6200008392333984,0.655223,0.695302,3.150212,-12.288512
2021-01-26,heuristic,1,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,-0.054435424018226874,-0.017832632186189135,-0.6703817131048027,-0.001466589203767854,24.799999237060547,5.856452014567837,2.0799999237060547,,,,
2021-01-26,heuristic,3,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,-0.06854834306004254,-0.15918481046649513,-0.5015280453320834,-0.0038072822862487143,24.799999237060547,5.856452014567837,2.0799999237060547,,,,
2021-01-26,hmm_v1_core,1,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,-0.054435424018226874,-0.017832632186189135,-0.6703817131048027,-0.001466589203767854,24.799999237060547,5.856452014567837,2.0799999237060547,,,,
2021-01-26,hmm_v1_core,3,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,-0.06854834306004254,-0.15918481046649513,-0.5015280453320834,-0.0038072822862487143,24.799999237060547,5.856452014567837,2.0799999237060547,,,,
2021-01-26,hmm_v2_core_plus_sector_corr,1,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,-0.054435424018226874,-0.017832632186189135,-0.6703817131048027,-0.001466589203767854,24.799999237060547,5.856452014567837,2.0799999237060547,0.602465,0.649485,,
2021-01-26,hmm_v2_core_plus_sector_corr,3,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,-0.06854834306004254,-0.15918481046649513,-0.5015280453320834,-0.0038072822862487143,24.799999237060547,5.856452014567837,2.0799999237060547,0.602465,0.649485,,
2021-01-26,hmm_v3_core_plus_sector_geometry,1,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,-0.054435424018226874,-0.017832632186189135,-0.6703817131048027,-0.001466589203767854,24.799999237060547,5.856452014567837,2.0799999237060547,0.602465,0.649485,3.25929,-13.470157
2021-01-26,hmm_v3_core_plus_sector_geometry,3,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,-0.06854834306004254,-0.15918481046649513,-0.5015280453320834,-0.0038072822862487143,24.799999237060547,5.856452014567837,2.0799999237060547,0.602465,0.649485,3.25929,-13.470157
2021-01-26,hmm_v3_1_meta_blend,1,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,-0.054435424018226874,-0.017832632186189135,-0.6703817131048027,-0.001466589203767854,24.799999237060547,5.856452014567837,2.0799999237060547,0.602465,0.649485,3.25929,-13.470157
