segment,metric,category,value
overall,case_count,,1041.0
overall,count_by_realized_outcome,T+1:VOL_EXPANSION_TRANSITION,739.0
overall,count_by_realized_outcome,T+1:MID_VOL_CHOP,179.0
overall,count_by_realized_outcome,T+1:STABLE_LOW_VOL_TREND,87.0
overall,count_by_realized_outcome,T+1:HIGH_VOL_RISK_OFF,36.0
overall,count_by_realized_risk_bucket,T+1:HIGHER_VOL_RISK,775.0
overall,count_by_realized_risk_bucket,T+1:LOW_RISK,266.0
overall,count_by_realized_outcome,T+2:VOL_EXPANSION_TRANSITION,750.0
overall,count_by_realized_outcome,T+2:STABLE_LOW_VOL_TREND,156.0
overall,count_by_realized_outcome,T+2:HIGH_VOL_RISK_OFF,72.0
overall,count_by_realized_outcome,T+2:MID_VOL_CHOP,63.0
overall,count_by_realized_risk_bucket,T+2:HIGHER_VOL_RISK,822.0
overall,count_by_realized_risk_bucket,T+2:LOW_RISK,219.0
overall,count_by_realized_outcome,T+3:VOL_EXPANSION_TRANSITION,720.0
overall,count_by_realized_outcome,T+3:STABLE_LOW_VOL_TREND,160.0
overall,count_by_realized_outcome,T+3:HIGH_VOL_RISK_OFF,126.0
overall,count_by_realized_outcome,T+3:MID_VOL_CHOP,34.0
overall,count_by_realized_outcome,T+3:,1.0
overall,count_by_realized_risk_bucket,T+3:HIGHER_VOL_RISK,846.0
overall,count_by_realized_risk_bucket,T+3:LOW_RISK,195.0
overall,avg_vix,,18.961911661366106
overall,avg_vvix,,102.19395778044041
overall,avg_vvix_vix_ratio,,5.5178809245638
overall,avg_geometry_stress_score,,0.33544763496637847
overall,avg_downgrade_levels,,0.04130643611911623
wins,case_count,,186.0
wins,count_by_realized_outcome,T+1:VOL_EXPANSION_TRANSITION,99.0
wins,count_by_realized_outcome,T+1:MID_VOL_CHOP,54.0
wins,count_by_realized_outcome,T+1:STABLE_LOW_VOL_TREND,33.0
wins,count_by_realized_risk_bucket,T+1:HIGHER_VOL_RISK,99.0
wins,count_by_realized_risk_bucket,T+1:LOW_RISK,87.0
wins,count_by_realized_outcome,T+2:STABLE_LOW_VOL_TREND,121.0
wins,count_by_realized_outcome,T+2:MID_VOL_CHOP,42.0
wins,count_by_realized_outcome,T+2:VOL_EXPANSION_TRANSITION,23.0
wins,count_by_realized_risk_bucket,T+2:LOW_RISK,163.0
wins,count_by_realized_risk_bucket,T+2:HIGHER_VOL_RISK,23.0
wins,count_by_realized_outcome,T+3:STABLE_LOW_VOL_TREND,99.0
wins,count_by_realized_outcome,T+3:VOL_EXPANSION_TRANSITION,55.0
wins,count_by_realized_outcome,T+3:MID_VOL_CHOP,19.0
wins,count_by_realized_outcome,T+3:HIGH_VOL_RISK_OFF,13.0
wins,count_by_realized_risk_bucket,T+3:LOW_RISK,118.0
wins,count_by_realized_risk_bucket,T+3:HIGHER_VOL_RISK,68.0
wins,avg_vix,,18.955806532213764
wins,avg_vvix,,102.30897817304057
wins,avg_vvix_vix_ratio,,5.511620283703772
wins,avg_geometry_stress_score,,0.3673845752688172
wins,avg_downgrade_levels,,0.021505376344086023
losses,case_count,,827.0
losses,count_by_realized_outcome,T+1:VOL_EXPANSION_TRANSITION,627.0
losses,count_by_realized_outcome,T+1:MID_VOL_CHOP,111.0
losses,count_by_realized_outcome,T+1:STABLE_LOW_VOL_TREND,53.0
losses,count_by_realized_outcome,T+1:HIGH_VOL_RISK_OFF,36.0
losses,count_by_realized_risk_bucket,T+1:HIGHER_VOL_RISK,663.0
losses,count_by_realized_risk_bucket,T+1:LOW_RISK,164.0
losses,count_by_realized_outcome,T+2:VOL_EXPANSION_TRANSITION,714.0
losses,count_by_realized_outcome,T+2:HIGH_VOL_RISK_OFF,72.0
losses,count_by_realized_outcome,T+2:STABLE_LOW_VOL_TREND,24.0
losses,count_by_realized_outcome,T+2:MID_VOL_CHOP,17.0
losses,count_by_realized_risk_bucket,T+2:HIGHER_VOL_RISK,786.0
losses,count_by_realized_risk_bucket,T+2:LOW_RISK,41.0
losses,count_by_realized_outcome,T+3:VOL_EXPANSION_TRANSITION,645.0
losses,count_by_realized_outcome,T+3:HIGH_VOL_RISK_OFF,113.0
losses,count_by_realized_outcome,T+3:STABLE_LOW_VOL_TREND,54.0
losses,count_by_realized_outcome,T+3:MID_VOL_CHOP,14.0
losses,count_by_realized_outcome,T+3:,1.0
losses,count_by_realized_risk_bucket,T+3:HIGHER_VOL_RISK,758.0
losses,count_by_realized_risk_bucket,T+3:LOW_RISK,69.0
losses,avg_vix,,18.93356714052618
losses,avg_vvix,,102.20042333637501
losses,avg_vvix_vix_ratio,,5.52023474352019
losses,avg_geometry_stress_score,,0.3319079709794438
losses,avg_downgrade_levels,,0.04353083434099154
