as_of_date,core_vol_risk_score,geometry_stress_score,final_risk_score,core_vol_state,final_regime,downgrade_levels,downgrade_cap_applied
2021-01-25,0.67,0.469643,0.619911,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-01-26,0.67,0.442857,0.613214,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-01-27,0.67,0.419048,0.607262,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-01-28,0.67,0.40754,0.604385,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-01-29,0.67,0.415278,0.606319,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-01,0.67,0.440873,0.612718,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-02,0.67,0.415278,0.606319,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-03,0.67,0.408532,0.604633,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-04,0.67,0.422817,0.608204,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-05,0.67,0.439286,0.612321,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-08,0.67,0.448214,0.614554,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-09,0.67,0.394643,0.601161,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-10,0.67,0.399603,0.602401,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-11,0.67,0.291667,0.575417,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-12,0.67,0.298611,0.577153,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-15,0.669999,0.30119,0.577797,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-16,0.67,0.277579,0.571895,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-17,0.669988,0.260516,0.56762,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-18,0.66974,0.293056,0.575569,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-19,0.66921,0.277183,0.571203,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-22,0.668252,0.276587,0.570336,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-23,0.668442,0.302183,0.576877,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-24,0.669663,0.355754,0.591186,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-02-25,0.330026,0.397817,0.346974,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-02-26,0.669876,0.347817,0.589361,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-01,0.669495,0.28373,0.573054,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-02,0.669926,0.278175,0.571988,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-03,0.668861,0.265476,0.568015,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-04,0.66998,0.223016,0.558239,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-05,0.670007,0.219643,0.557416,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-08,0.67,0.192659,0.550664,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-09,0.67,0.200397,0.552599,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-10,0.669996,0.150595,0.540146,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-11,0.6697,0.156151,0.541313,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-12,0.669918,0.162897,0.543163,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-15,0.523926,0.150397,0.430544,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,1,False
2021-03-16,0.669999,0.13373,0.535932,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-17,0.671415,0.173214,0.546865,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-18,0.67,0.248611,0.564653,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-19,0.67,0.243651,0.563412,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-22,0.669999,0.236111,0.561527,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-23,0.67,0.214484,0.556121,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-24,0.669999,0.197222,0.551805,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-25,0.669996,0.195437,0.551356,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-26,0.67,0.170833,0.545208,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-29,0.330059,0.144841,0.283755,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-03-30,0.667358,0.091468,0.523385,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-03-31,0.665178,0.086508,0.520511,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-01,0.669995,0.07619,0.521544,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-02,0.67,0.09623,0.526558,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-05,0.669999,0.099802,0.52745,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-06,0.669884,0.100794,0.527611,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-07,0.669999,0.101587,0.527896,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-08,1.0,0.088095,0.772024,HIGH_VOL_RISK_OFF,HIGH_VOL_RISK_OFF,0,False
2021-04-09,0.999999,0.200794,0.800198,HIGH_VOL_RISK_OFF,HIGH_VOL_RISK_OFF,0,False
2021-04-12,0.999999,0.210119,0.802529,HIGH_VOL_RISK_OFF,HIGH_VOL_RISK_OFF,0,False
2021-04-13,0.989666,0.257738,0.806684,HIGH_VOL_RISK_OFF,HIGH_VOL_RISK_OFF,0,False
2021-04-14,0.670741,0.273016,0.57131,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-15,0.67,0.255952,0.566488,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-16,0.67,0.253373,0.565843,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-19,0.67,0.30119,0.577798,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-20,0.67,0.30873,0.579683,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-21,0.67,0.321429,0.582857,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-22,0.669998,0.334325,0.58608,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-23,0.669993,0.352976,0.590739,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-26,0.669996,0.35,0.589997,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-27,0.330031,0.353571,0.335916,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-04-28,0.669976,0.359127,0.592264,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-29,0.669961,0.366667,0.594137,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-04-30,0.669993,0.371429,0.595352,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-03,0.669886,0.318056,0.581929,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-04,0.669964,0.282937,0.573207,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-05,0.67,0.302778,0.578194,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-06,0.340533,0.324008,0.336401,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-05-07,0.334848,0.291468,0.324003,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-05-10,0.597663,0.30377,0.52419,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-11,0.669165,0.290873,0.574592,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-12,0.355654,0.306151,0.343279,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-05-13,0.330138,0.283929,0.318585,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-05-14,0.415467,0.306151,0.388138,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-05-17,0.4204,0.384127,0.411332,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-05-18,0.609699,0.365079,0.548544,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-19,0.669992,0.314683,0.581164,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-20,0.67,0.358135,0.592034,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-21,0.67,0.343056,0.588264,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-24,0.67,0.331349,0.585337,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-25,0.67,0.322222,0.583055,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-26,0.67,0.323016,0.583254,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-27,0.330049,0.312897,0.325761,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-05-28,0.669986,0.312103,0.580515,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-05-31,0.67,0.381746,0.597937,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-06-01,0.330011,0.383135,0.343292,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-06-02,0.330686,0.344444,0.334126,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-06-03,0.67,0.343452,0.588363,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
2021-06-04,0.330002,0.23631,0.306579,MID_VOL_CHOP,MID_VOL_CHOP,0,False
2021-06-07,0.669826,0.238889,0.562092,VOL_EXPANSION_TRANSITION,VOL_EXPANSION_TRANSITION,0,False
