model_name,entry_date,exit_date,predicted_regime,brace_for_impact_score,total_trade_pnl,safer_reference_trade_pnl,dollar_missed_risk
heuristic_policy,2026-03-10,2026-03-11,STABLE_LOW_VOL_TREND,0.45,328.0882445701733,330.413818359375,-2.3255737892017123
heuristic_policy,2026-03-24,2026-03-25,STABLE_LOW_VOL_TREND,0.45,380.0060057175831,383.06236267089844,-3.056356953315344
heuristic_policy,2026-04-01,2026-04-02,MID_VOL_CHOP,0.45,1021.5615488559642,1033.315658569336,-11.75410971337169
heuristic_policy,2026-04-13,2026-04-14,MID_VOL_CHOP,0.45,370.67025209338055,373.4973907470703,-2.827138653689758
heuristic_policy,2026-04-15,2026-04-16,STABLE_LOW_VOL_TREND,0.45,305.75084514250403,308.2489013671875,-2.4980562246834666
heuristic_policy,2026-04-17,2026-04-20,MID_VOL_CHOP,0.45,472.5706576367362,477.00233459472656,-4.431676957990362
heuristic_policy,2026-05-06,2026-05-07,STABLE_LOW_VOL_TREND,0.45,560.4936731976666,565.8748626708984,-5.381189473231871
heuristic_policy,2026-05-08,2026-05-11,MID_VOL_CHOP,0.45,336.9123600482152,339.74876403808594,-2.836403989870746
heuristic_policy,2026-05-14,2026-05-15,STABLE_LOW_VOL_TREND,0.45,326.68406028526147,329.6241760253906,-2.9401157401291584
heuristic_policy,2026-05-20,2026-05-21,STABLE_LOW_VOL_TREND,0.45,419.52472102477736,423.0010986328125,-3.4763776080351363
hmm_v3_1_meta_blend,2026-03-10,2026-03-11,VOL_EXPANSION_TRANSITION,0.898666,107.81236566392332,110.137939453125,-2.325573789201684
hmm_v3_1_meta_blend,2026-03-24,2026-03-25,VOL_EXPANSION_TRANSITION,0.745922,124.6310972703175,127.68745422363281,-3.0563569533153156
hmm_v3_1_meta_blend,2026-04-01,2026-04-02,HIGH_VOL_RISK_OFF,0.933198,-11.754109713371633,0.0,-11.754109713371633
hmm_v3_1_meta_blend,2026-04-13,2026-04-14,MID_VOL_CHOP,0.348489,370.67025209338055,373.4973907470703,-2.827138653689758
hmm_v3_1_meta_blend,2026-04-15,2026-04-16,MID_VOL_CHOP,0.330361,305.75084514250403,308.2489013671875,-2.4980562246834666
hmm_v3_1_meta_blend,2026-04-17,2026-04-20,MID_VOL_CHOP,0.29086,472.5706576367362,477.00233459472656,-4.431676957990362
hmm_v3_1_meta_blend,2026-05-05,2026-05-06,MID_VOL_CHOP,0.264437,429.4221985783956,432.000732421875,-2.57853384347942
hmm_v3_1_meta_blend,2026-05-13,2026-05-14,STABLE_LOW_VOL_TREND,0.05784,308.13086654268676,309.7503662109375,-1.6194996682507394
hmm_v3_1_meta_blend,2026-05-25,2026-05-26,MID_VOL_CHOP,0.187786,369.1507406944597,371.25091552734375,-2.100174832884022
hmm_v3_1_meta_blend,2026-05-27,2026-05-28,STABLE_LOW_VOL_TREND,0.063986,308.830995962477,310.49652099609375,-1.6655250336167455
hmm_v3_1_meta_blend,2026-06-10,2026-06-11,VOL_EXPANSION_TRANSITION,0.652757,456.3133135419125,462.3756408691406,-6.062327327228104
hmm_v4_path_aware_meta,2026-03-10,2026-03-11,STABLE_LOW_VOL_TREND,0.033895,438.2261840232983,440.5517578125,-2.3255737892017123
hmm_v4_path_aware_meta,2026-03-24,2026-03-25,STABLE_LOW_VOL_TREND,0.033895,507.6934599412159,510.74981689453125,-3.056356953315344
hmm_v4_path_aware_meta,2026-04-01,2026-04-02,STABLE_LOW_VOL_TREND,0.033895,1366.0001017124096,1377.7542114257812,-11.75410971337169
hmm_v4_path_aware_meta,2026-04-13,2026-04-14,STABLE_LOW_VOL_TREND,0.033895,495.169382342404,497.99652099609375,-2.827138653689758
hmm_v4_path_aware_meta,2026-04-15,2026-04-16,STABLE_LOW_VOL_TREND,0.033895,408.50047893156653,410.99853515625,-2.4980562246834666
hmm_v4_path_aware_meta,2026-04-17,2026-04-20,STABLE_LOW_VOL_TREND,0.033895,631.5714358349784,636.0031127929688,-4.431676957990362
hmm_v4_path_aware_meta,2026-05-05,2026-05-06,STABLE_LOW_VOL_TREND,0.033895,429.4221985783956,432.000732421875,-2.57853384347942
hmm_v4_path_aware_meta,2026-05-13,2026-05-14,STABLE_LOW_VOL_TREND,0.033895,308.13086654268676,309.7503662109375,-1.6194996682507394
hmm_v4_path_aware_meta,2026-05-25,2026-05-26,STABLE_LOW_VOL_TREND,0.033895,369.1507406944597,371.25091552734375,-2.100174832884022
hmm_v4_path_aware_meta,2026-05-27,2026-05-28,STABLE_LOW_VOL_TREND,0.033895,308.830995962477,310.49652099609375,-1.6655250336167455
hmm_v4_path_aware_meta,2026-06-10,2026-06-11,STABLE_LOW_VOL_TREND,0.033895,918.6889544110531,924.7512817382812,-6.062327327228104
