model_name,entry_date,exit_date,entry_spy,exit_spy,dte,holding_days,strike,entry_premium,exit_option_value,option_pnl,leap_pnl_during_trade,total_trade_pnl,exit_reason,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
always_overwrite_baseline,2026-06-04,2026-06-05,757.0900268554688,737.5499877929688,1,2,761.0,1.387304179135299,0.036103711305535136,1.3512004678297638,-1465.5029296875,-1464.1517292196702,profit_exit,MID_VOL_CHOP,0.45,1.0,normal,1.35,15.399999618530273,85.75,0.0,0.0
hmm_v3_1_meta_blend,2026-06-04,2026-06-05,757.0900268554688,737.5499877929688,1,2,761.0,1.387304179135299,0.036103711305535136,1.3512004678297638,-1465.5029296875,-1464.1517292196702,profit_exit,STABLE_LOW_VOL_TREND,0.044368,1.0,conservative,1.2,15.399999618530273,85.75,0.0,0.0
hmm_v4_path_aware_meta,2026-06-04,2026-06-05,757.0900268554688,737.5499877929688,1,2,761.0,1.387304179135299,0.036103711305535136,1.3512004678297638,-1465.5029296875,-1464.1517292196702,profit_exit,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.2,15.399999618530273,85.75,0.0,0.0
hmm_v4_path_aware_meta,2026-03-30,2026-03-31,645.0900268554688,634.0900268554688,1,2,651.0,2.641621780055459,0.4905345301774702,2.151087249877989,-825.0,-822.848912750122,profit_exit,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,2.0,31.049999237060547,124.43000030517578,0.0,0.0
always_overwrite_baseline,2026-03-30,2026-03-31,645.0900268554688,634.0900268554688,1,2,651.0,2.641621780055459,0.4905345301774702,2.151087249877989,-825.0,-822.848912750122,profit_exit,HIGH_VOL_RISK_OFF,0.45,1.0,normal,2.5,31.049999237060547,124.43000030517578,0.0,0.0
always_overwrite_baseline,2026-05-15,2026-05-18,748.1699829101562,739.1699829101562,1,4,753.0,1.5821575873268046,0.17227077899936916,1.4098868083274354,-675.0,-673.5901131916726,profit_exit,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,18.43000030517578,94.26000213623047,0.0,0.0
hmm_v4_path_aware_meta,2026-05-15,2026-05-18,748.1699829101562,739.1699829101562,1,4,753.0,1.5821575873268046,0.17227077899936916,1.4098868083274354,-675.0,-673.5901131916726,profit_exit,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.2,18.43000030517578,94.26000213623047,0.0,0.0
hmm_v3_1_meta_blend,2026-05-15,2026-05-18,748.1699829101562,739.1699829101562,1,4,753.0,1.5821575873268046,0.17227077899936916,1.4098868083274354,-675.0,-673.5901131916726,profit_exit,STABLE_LOW_VOL_TREND,0.060084,1.0,conservative,1.2,18.43000030517578,94.26000213623047,0.0,0.0
heuristic_policy,2026-06-09,2026-06-10,737.0499877929688,725.4299926757812,1,2,742.0,1.733579602788467,0.23117980030971808,1.5023998024787488,-653.6247253417969,-652.1223255393181,profit_exit,MID_VOL_CHOP,0.45,0.75,normal,1.35,19.8700008392334,95.80999755859375,0.0,0.0
heuristic_policy,2026-03-30,2026-03-31,645.0900268554688,634.0900268554688,1,2,651.0,2.641621780055459,0.4905345301774702,2.151087249877989,-618.75,-616.598912750122,profit_exit,HIGH_VOL_RISK_OFF,0.45,0.75,normal,2.5,31.049999237060547,124.43000030517578,0.0,0.0
always_overwrite_baseline,2026-03-04,2026-03-05,684.5106201171875,678.4771118164062,1,2,690.0,1.901372389963882,0.0,1.901372389963882,-452.51312255859375,-450.6117501686299,expiration,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,23.56999969482422,113.44000244140625,0.0,0.0
hmm_v4_path_aware_meta,2026-03-04,2026-03-05,684.5106201171875,678.4771118164062,1,2,690.0,1.901372389963882,0.0,1.901372389963882,-452.51312255859375,-450.6117501686299,expiration,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,23.56999969482422,113.44000244140625,0.0,0.0
hmm_v3_1_meta_blend,2026-06-02,2026-06-03,759.5700073242188,754.239990234375,1,2,763.0,1.6071740443171905,0.0,1.6071740443171905,-399.75128173828125,-398.1441076939641,expiration,STABLE_LOW_VOL_TREND,0.043758,1.0,conservative,1.2,15.770000457763672,90.52999877929688,0.0,0.0
hmm_v4_path_aware_meta,2026-06-02,2026-06-03,759.5700073242188,754.239990234375,1,2,763.0,1.6071740443171905,0.0,1.6071740443171905,-399.75128173828125,-398.1441076939641,expiration,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.2,15.770000457763672,90.52999877929688,0.0,0.0
always_overwrite_baseline,2026-06-02,2026-06-03,759.5700073242188,754.239990234375,1,2,763.0,1.6071740443171905,0.0,1.6071740443171905,-399.75128173828125,-398.1441076939641,expiration,MID_VOL_CHOP,0.45,1.0,normal,1.35,15.770000457763672,90.52999877929688,0.0,0.0
always_overwrite_baseline,2026-05-19,2026-05-20,738.6500244140625,733.72998046875,1,2,743.0,1.6254947148896406,0.0,1.6254947148896406,-369.0032958984375,-367.37780118354783,expiration,MID_VOL_CHOP,0.45,1.0,normal,1.35,18.059999465942383,91.18000030517578,0.0,0.0
hmm_v4_path_aware_meta,2026-05-19,2026-05-20,738.6500244140625,733.72998046875,1,2,743.0,1.6254947148896406,0.0,1.6254947148896406,-369.0032958984375,-367.37780118354783,expiration,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.2,18.059999465942383,91.18000030517578,0.0,0.0
hmm_v3_1_meta_blend,2026-05-19,2026-05-20,738.6500244140625,733.72998046875,1,2,743.0,1.6254947148896406,0.0,1.6254947148896406,-369.0032958984375,-367.37780118354783,expiration,MID_VOL_CHOP,0.176628,1.0,conservative,1.2,18.059999465942383,91.18000030517578,0.0,0.0
hmm_v3_1_meta_blend,2026-04-21,2026-04-22,708.719970703125,704.0800170898438,1,2,713.0,1.7538385205457985,0.0,1.7538385205457985,-347.99652099609375,-346.24268247554795,expiration,MID_VOL_CHOP,0.227455,1.0,conservative,1.2,19.5,98.1500015258789,0.0,0.0
always_overwrite_baseline,2026-04-21,2026-04-22,708.719970703125,704.0800170898438,1,2,713.0,1.7538385205457985,0.0,1.7538385205457985,-347.99652099609375,-346.24268247554795,expiration,MID_VOL_CHOP,0.45,1.0,normal,1.35,19.5,98.1500015258789,0.0,0.0
