model_name,instrument_type,entry_date,exit_date,entry_premium,exit_premium,multiplier,dollar_pnl,exit_reason,strike,dte,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
heuristic_policy,LEAP,2026-03-02,2026-03-24,100.0,78.15,100,-2185.46,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-03-18,2026-04-01,100.0,78.61,100,-2138.72,leap_stop_loss,,,,,,,,,,,
hmm_v4_path_aware_meta,LEAP,2026-03-18,2026-04-01,100.0,78.61,100,-2138.72,leap_stop_loss,,,,,,,,,,,
always_overwrite_baseline,LEAP,2026-03-18,2026-04-01,100.0,78.61,100,-2138.72,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-03-02,2026-03-17,100.0,79.8,100,-2020.23,leap_stop_loss,,,,,,,,,,,
hmm_v4_path_aware_meta,LEAP,2026-03-02,2026-03-17,100.0,79.8,100,-2020.23,leap_stop_loss,,,,,,,,,,,
always_overwrite_baseline,LEAP,2026-03-02,2026-03-17,100.0,79.8,100,-2020.23,leap_stop_loss,,,,,,,,,,,
heuristic_policy,SHORT_CALL,2026-04-01,2026-04-02,2.0,13.76,100,-1175.41,underlying_touch,637.0,1.0,MID_VOL_CHOP,0.45,0.75,normal,1.65,25.25,127.84,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-04-01,2026-04-02,2.0,13.76,100,-1175.41,underlying_touch,637.0,1.0,HIGH_VOL_RISK_OFF,0.933198,0.0,aggressive,1.8,25.25,127.84,0.0,0.0
heuristic_policy,SHORT_CALL,2026-04-08,2026-04-09,1.62,12.27,100,-1065.84,underlying_touch,664.0,1.0,MID_VOL_CHOP,0.45,0.75,normal,1.65,21.04,117.3,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-04-08,2026-04-09,1.62,12.27,100,-1065.84,underlying_touch,664.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,21.04,117.3,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-04-08,2026-04-09,1.62,12.27,100,-1065.84,underlying_touch,664.0,1.0,MID_VOL_CHOP,0.45,1.0,normal,1.65,21.04,117.3,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-04-08,2026-04-09,1.62,12.27,100,-1065.84,underlying_touch,664.0,1.0,HIGH_VOL_RISK_OFF,0.931128,0.0,aggressive,1.8,21.04,117.3,0.0,0.0
heuristic_policy,SHORT_CALL,2026-06-10,2026-06-11,1.87,7.94,100,-606.23,underlying_touch,731.0,1.0,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.65,22.22,108.16,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-10,2026-06-11,1.87,7.94,100,-606.23,underlying_touch,731.0,1.0,VOL_EXPANSION_TRANSITION,0.652757,0.5,aggressive,1.8,22.22,108.16,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-06-10,2026-06-11,1.87,7.94,100,-606.23,underlying_touch,731.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,22.22,108.16,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-06-10,2026-06-11,1.87,7.94,100,-606.23,underlying_touch,731.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,22.22,108.16,0.0,0.0
heuristic_policy,SHORT_CALL,2026-05-06,2026-05-07,1.5,6.88,100,-538.12,underlying_touch,728.0,1.0,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,17.39,95.26,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-06,2026-05-07,1.5,6.88,100,-538.12,underlying_touch,728.0,1.0,MID_VOL_CHOP,0.271616,1.0,conservative,1.2,17.39,95.26,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-05-06,2026-05-07,1.5,6.88,100,-538.12,underlying_touch,728.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.2,17.39,95.26,0.0,0.0
