model_name,check_name,status,details
always_overwrite_baseline,total_pnl_equals_leap_plus_overwrite,True,"total=-857.47, leap=4074.55, overwrite=-4932.04"
always_overwrite_baseline,no_overwrite_baseline_has_zero_overwrite_pnl,True,overwrite_pnl=-4932.04
always_overwrite_baseline,no_overwrite_baseline_has_no_short_call_trades,True,short_call_trade_count=68
always_overwrite_baseline,nonzero_total_pnl_requires_nonzero_total_return_or_missing_denominator,False,"total_pnl=-857.47, total_return_pct=0.0"
always_overwrite_baseline,all_option_pnl_uses_multiplier_100,True,short_call_trade_count=68
always_overwrite_baseline,short_calls_not_open_when_leap_closed_unless_allowed,True,"naked_short_daily_rows=0, allow_naked_short_calls=False"
heuristic_policy,total_pnl_equals_leap_plus_overwrite,True,"total=-1922.47, leap=3441.02, overwrite=-5363.54"
heuristic_policy,no_overwrite_baseline_has_zero_overwrite_pnl,True,overwrite_pnl=-5363.54
heuristic_policy,no_overwrite_baseline_has_no_short_call_trades,True,short_call_trade_count=59
heuristic_policy,nonzero_total_pnl_requires_nonzero_total_return_or_missing_denominator,False,"total_pnl=-1922.47, total_return_pct=0.0"
heuristic_policy,all_option_pnl_uses_multiplier_100,True,short_call_trade_count=59
heuristic_policy,short_calls_not_open_when_leap_closed_unless_allowed,True,"naked_short_daily_rows=0, allow_naked_short_calls=False"
hmm_v3_1_meta_blend,total_pnl_equals_leap_plus_overwrite,True,"total=-3965.78, leap=3186.02, overwrite=-7151.83"
hmm_v3_1_meta_blend,no_overwrite_baseline_has_zero_overwrite_pnl,True,overwrite_pnl=-7151.83
hmm_v3_1_meta_blend,no_overwrite_baseline_has_no_short_call_trades,True,short_call_trade_count=73
hmm_v3_1_meta_blend,nonzero_total_pnl_requires_nonzero_total_return_or_missing_denominator,False,"total_pnl=-3965.78, total_return_pct=0.0"
hmm_v3_1_meta_blend,all_option_pnl_uses_multiplier_100,True,short_call_trade_count=73
hmm_v3_1_meta_blend,short_calls_not_open_when_leap_closed_unless_allowed,True,"naked_short_daily_rows=0, allow_naked_short_calls=False"
hmm_v4_path_aware_meta,total_pnl_equals_leap_plus_overwrite,True,"total=-857.47, leap=4074.55, overwrite=-4932.04"
hmm_v4_path_aware_meta,no_overwrite_baseline_has_zero_overwrite_pnl,True,overwrite_pnl=-4932.04
hmm_v4_path_aware_meta,no_overwrite_baseline_has_no_short_call_trades,True,short_call_trade_count=68
hmm_v4_path_aware_meta,nonzero_total_pnl_requires_nonzero_total_return_or_missing_denominator,False,"total_pnl=-857.47, total_return_pct=0.0"
hmm_v4_path_aware_meta,all_option_pnl_uses_multiplier_100,True,short_call_trade_count=68
hmm_v4_path_aware_meta,short_calls_not_open_when_leap_closed_unless_allowed,True,"naked_short_daily_rows=0, allow_naked_short_calls=False"
no_overwrite_baseline,total_pnl_equals_leap_plus_overwrite,True,"total=4074.55, leap=4074.55, overwrite=0.0"
no_overwrite_baseline,no_overwrite_baseline_has_zero_overwrite_pnl,True,overwrite_pnl=0.0
no_overwrite_baseline,no_overwrite_baseline_has_no_short_call_trades,True,short_call_trade_count=0
no_overwrite_baseline,nonzero_total_pnl_requires_nonzero_total_return_or_missing_denominator,False,"total_pnl=4074.55, total_return_pct=0.0"
no_overwrite_baseline,all_option_pnl_uses_multiplier_100,True,short_call_trade_count=0
no_overwrite_baseline,short_calls_not_open_when_leap_closed_unless_allowed,True,"naked_short_daily_rows=0, allow_naked_short_calls=False"
