model_name,instrument_type,entry_date,exit_date,entry_premium,exit_premium,multiplier,dollar_pnl,exit_reason
no_overwrite_baseline,LEAP,2024-01-01,2024-02-22,100.0,121.35,100,2134.8,leap_profit_exit
no_overwrite_baseline,LEAP,2024-02-23,2024-04-03,100.0,122.2,100,2220.39,leap_profit_exit
no_overwrite_baseline,LEAP,2024-04-04,2024-07-11,100.0,122.04,100,2203.75,leap_profit_exit
no_overwrite_baseline,LEAP,2024-07-12,2024-10-15,100.0,123.04,100,2303.6,leap_profit_exit
no_overwrite_baseline,LEAP,2024-10-16,2024-12-04,100.0,121.33,100,2133.47,leap_profit_exit
no_overwrite_baseline,LEAP,2024-12-05,2025-03-26,100.0,73.68,100,-2632.08,leap_stop_loss
no_overwrite_baseline,LEAP,2025-03-27,2025-04-22,100.0,60.24,100,-3975.83,leap_stop_loss
no_overwrite_baseline,LEAP,2025-04-23,2025-04-25,100.0,132.14,100,3213.66,leap_profit_exit
no_overwrite_baseline,LEAP,2025-04-28,2025-05-06,100.0,74.24,100,-2575.97,leap_stop_loss
no_overwrite_baseline,LEAP,2025-05-07,2025-05-09,100.0,124.33,100,2432.86,leap_profit_exit
no_overwrite_baseline,LEAP,2025-05-12,2025-05-27,100.0,126.92,100,2691.64,leap_profit_exit
no_overwrite_baseline,LEAP,2025-05-28,2025-07-09,100.0,122.76,100,2275.58,leap_profit_exit
no_overwrite_baseline,LEAP,2025-07-10,2025-08-22,100.0,122.92,100,2292.06,leap_profit_exit
no_overwrite_baseline,LEAP,2025-08-25,2025-10-10,100.0,120.54,100,2053.58,leap_profit_exit
no_overwrite_baseline,LEAP,2025-10-13,2026-01-15,100.0,120.64,100,2063.56,leap_profit_exit
no_overwrite_baseline,LEAP,2026-01-16,2026-03-16,100.0,79.05,100,-2095.03,leap_stop_loss
no_overwrite_baseline,LEAP,2026-03-17,2026-03-31,100.0,77.38,100,-2261.69,leap_stop_loss
no_overwrite_baseline,LEAP,2026-04-01,2026-04-09,100.0,131.44,100,3144.0,leap_profit_exit
no_overwrite_baseline,LEAP,2026-04-10,2026-04-20,100.0,125.6,100,2559.75,leap_profit_exit
no_overwrite_baseline,LEAP,2026-04-21,2026-05-11,100.0,120.61,100,2061.0,leap_profit_exit
always_overwrite_baseline,SHORT_CALL,2024-01-01,2024-01-02,0.62,0.0,100,62.08,expiration
always_overwrite_baseline,SHORT_CALL,2024-01-02,2024-01-03,0.73,0.0,100,72.54,expiration
always_overwrite_baseline,SHORT_CALL,2024-01-03,2024-01-04,0.79,0.0,100,78.99,expiration
always_overwrite_baseline,SHORT_CALL,2024-01-04,2024-01-05,0.64,0.0,100,64.5,expiration
always_overwrite_baseline,SHORT_CALL,2024-01-05,2024-01-08,0.86,1.6,100,-74.61,underlying_touch
always_overwrite_baseline,SHORT_CALL,2024-01-08,2024-01-09,0.74,2.02,100,-127.17,underlying_touch
always_overwrite_baseline,SHORT_CALL,2024-01-09,2024-01-10,0.68,0.0,100,67.8,expiration
always_overwrite_baseline,SHORT_CALL,2024-01-10,2024-01-11,0.86,0.0,100,86.17,expiration
always_overwrite_baseline,SHORT_CALL,2024-01-11,2024-01-12,0.84,0.0,100,84.34,expiration
always_overwrite_baseline,SHORT_CALL,2024-01-12,2024-01-15,0.61,2.03,100,-142.54,underlying_touch
always_overwrite_baseline,SHORT_CALL,2024-01-15,2024-01-16,0.65,1.45,100,-79.81,underlying_touch
