model_name,date,spy_close,vix,leap_open,leap_premium_estimate,leap_delta,leap_exposure_pct,leap_daily_pnl,leap_cumulative_pnl,short_call_open,short_call_strike,short_call_entry_premium,short_call_mtm_value,short_call_daily_pnl,short_call_cumulative_pnl,total_daily_pnl,total_cumulative_pnl,overwrite_daily_pnl,avoided_leap_drawdown_estimate,missed_leap_upside_estimate
no_overwrite_baseline,2024-01-01,441.05,12.460000038146973,True,100.0,0.75,1.0,0.0,0.0,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_overwrite_baseline,2024-01-02,441.32,12.6899995803833,True,100.2,0.75,1.0,20.35,20.35,False,,,,0.0,0.0,20.35,20.35,0.0,0.0,0.0
no_overwrite_baseline,2024-01-03,440.52,12.6899995803833,True,99.61,0.75,1.0,-59.61,-39.26,False,,,,0.0,0.0,-59.61,-39.26,0.0,0.0,0.0
no_overwrite_baseline,2024-01-04,440.96,12.979999542236328,True,99.93,0.75,1.0,32.72,-6.54,False,,,,0.0,0.0,32.72,-6.54,0.0,0.0,0.0
no_overwrite_baseline,2024-01-05,440.65,12.920000076293945,True,99.7,0.75,1.0,-23.27,-29.81,False,,,,0.0,0.0,-23.27,-29.81,0.0,0.0,0.0
no_overwrite_baseline,2024-01-08,442.38,12.630000114440918,True,101.0,0.75,1.0,130.13,100.32,False,,,,0.0,0.0,130.13,100.32,0.0,0.0,0.0
no_overwrite_baseline,2024-01-09,445.0,13.079999923706055,True,102.97,0.75,1.0,196.28,296.6,False,,,,0.0,0.0,196.28,296.6,0.0,0.0,0.0
no_overwrite_baseline,2024-01-10,442.66,12.850000381469727,True,101.21,0.75,1.0,-175.2,121.4,False,,,,0.0,0.0,-175.2,121.4,0.0,0.0,0.0
no_overwrite_baseline,2024-01-11,442.58,12.970000267028809,True,101.15,0.75,1.0,-6.55,114.85,False,,,,0.0,0.0,-6.55,114.85,0.0,0.0,0.0
no_overwrite_baseline,2024-01-12,440.79,13.0600004196167,True,99.81,0.75,1.0,-133.75,-18.9,False,,,,0.0,0.0,-133.75,-18.9,0.0,0.0,0.0
no_overwrite_baseline,2024-01-15,444.16,12.350000381469727,True,102.33,0.75,1.0,252.26,233.36,False,,,,0.0,0.0,252.26,233.36,0.0,0.0,0.0
no_overwrite_baseline,2024-01-16,446.07,12.630000114440918,True,103.77,0.75,1.0,143.21,376.56,False,,,,0.0,0.0,143.21,376.56,0.0,0.0,0.0
no_overwrite_baseline,2024-01-17,447.8,12.069999694824219,True,105.07,0.75,1.0,130.12,506.69,False,,,,0.0,0.0,130.12,506.69,0.0,0.0,0.0
