model_name,instrument_type,exit_reason,trade_count,dollar_pnl
always_overwrite_baseline,LEAP,leap_profit_exit,15,35783.7
always_overwrite_baseline,LEAP,leap_stop_loss,5,-13540.6
always_overwrite_baseline,SHORT_CALL,expiration,363,45764.72
always_overwrite_baseline,SHORT_CALL,underlying_touch,179,-56727.77
always_overwrite_baseline,SHORT_CALL,profit_exit,67,9471.32
always_overwrite_baseline,SHORT_CALL,loss_exit,10,-1359.43
heuristic_policy,LEAP,leap_profit_exit,17,36979.59
heuristic_policy,LEAP,leap_stop_loss,5,-11443.93
heuristic_policy,SHORT_CALL,expiration,150,23201.28
heuristic_policy,SHORT_CALL,underlying_touch,63,-28050.72
heuristic_policy,SHORT_CALL,profit_exit,50,7858.79
heuristic_policy,SHORT_CALL,loss_exit,4,-659.26
hmm_v3_1_meta_blend,LEAP,leap_profit_exit,11,23498.02
hmm_v3_1_meta_blend,LEAP,leap_stop_loss,1,-2347.6
hmm_v3_1_meta_blend,SHORT_CALL,expiration,371,47315.46
hmm_v3_1_meta_blend,SHORT_CALL,underlying_touch,180,-57385.79
hmm_v3_1_meta_blend,SHORT_CALL,profit_exit,65,9271.18
hmm_v3_1_meta_blend,SHORT_CALL,loss_exit,11,-1483.79
hmm_v4_path_aware_meta,LEAP,leap_profit_exit,15,35783.7
hmm_v4_path_aware_meta,LEAP,leap_stop_loss,5,-13540.6
hmm_v4_path_aware_meta,SHORT_CALL,expiration,363,45764.72
hmm_v4_path_aware_meta,SHORT_CALL,underlying_touch,179,-56727.77
hmm_v4_path_aware_meta,SHORT_CALL,profit_exit,67,9471.32
hmm_v4_path_aware_meta,SHORT_CALL,loss_exit,10,-1359.43
no_overwrite_baseline,LEAP,leap_profit_exit,15,35783.7
no_overwrite_baseline,LEAP,leap_stop_loss,5,-13540.6
